date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:53	117706/117706	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:29%20GMT	http://sonamedia.vn/thu-am-quang-cao-binh-dinh.html/	C:/My%20Web%20Sites/media/sonamedia.vn/thu-am-quang-cao-binh-dinh.html/index.html	(from http://sonamedia.vn/quang-cao-audio/)
14:43:54	117471/117471	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:30%20GMT	http://sonamedia.vn/thu-am-quang-cao-vung-tau.html/	C:/My%20Web%20Sites/media/sonamedia.vn/thu-am-quang-cao-vung-tau.html/index.html	(from http://sonamedia.vn/quang-cao-audio/)
14:43:54	128535/128535	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:30%20GMT	http://sonamedia.vn/quang-cao-audio/page/3/	C:/My%20Web%20Sites/media/sonamedia.vn/quang-cao-audio/page/3/index.html	(from http://sonamedia.vn/quang-cao-audio/)
14:43:54	127046/127046	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:31%20GMT	http://sonamedia.vn/quang-cao-audio/page/4/	C:/My%20Web%20Sites/media/sonamedia.vn/quang-cao-audio/page/4/index.html	(from http://sonamedia.vn/quang-cao-audio/)
14:43:54	3920/3920	---MCZ	200	added ('OK')	application/json	date:Sat,%2017%20Dec%202022%2007:43:30%20GMT	http://sonamedia.vn/wp-json/wp/v2/categories/78	C:/My%20Web%20Sites/media/sonamedia.vn/wp-json/wp/v2/categories/78.json	(from http://sonamedia.vn/marketing-tong-the/)
14:43:54	7527/7527	---M--	200	added ('OK')	image/jpeg	etag:%22639a509b-1d67%22	http://sonamedia.vn/wp-content/uploads/2022/12/google-analytics-la-gi-300x191.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2022/12/google-analytics-la-gi-300x191.jpg	(from http://sonamedia.vn/marketing-tong-the/)
14:43:55	64924/64924	---M--	200	added ('OK')	image/png	etag:%22637b3a44-fd9c%22	http://sonamedia.vn/wp-content/uploads/2022/11/1-300x157.png	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2022/11/1-300x157.png	(from http://sonamedia.vn/marketing-tong-the/)
14:43:55	128420/128420	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:32%20GMT	http://sonamedia.vn/quang-cao-audio/thu-am-quang-cao/page/2/	C:/My%20Web%20Sites/media/sonamedia.vn/quang-cao-audio/thu-am-quang-cao/page/2/index.html	(from http://sonamedia.vn/quang-cao-audio/thu-am-quang-cao/)
14:43:55	109686/109686	---MC-	200	added ('OK')	application/rss+xml	etag:%2234350ad9aeb3a37981beda43753a0627%22	http://sonamedia.vn/quang-cao-audio/thu-am-quang-cao/feed/	C:/My%20Web%20Sites/media/sonamedia.vn/quang-cao-audio/thu-am-quang-cao/feed/index.html	(from http://sonamedia.vn/quang-cao-audio/thu-am-quang-cao/)
14:43:55	76516/76516	---M--	200	added ('OK')	image/png	etag:%2263726a07-12ae4%22	http://sonamedia.vn/wp-content/uploads/2022/11/m1-300x200.png	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2022/11/m1-300x200.png	(from http://sonamedia.vn/marketing-tong-the/)
